,Turkish,English
0,bir,One
1,ve,And
2,olmak,to be
3,bu,This
4,için,for
5,o,he
6,ben,I
7,demek,means
8,çok,A lot
9,yapmak,to do
10,ne,What
11,gibi,like
12,daha,more
13,almak,to take
14,var,there is
15,kendi,own
16,gelmek,to come
17,ile,with
18,vermek,to give
19,ama,But
20,sonra,later
21,kadar,much
22,yer,place
23,en,#NAME?
24,insan,person
25,degil,not
26,her,each
27,istemek,to want
28,yil,year
29,çikmak,to leave
30,görmek,to see
31,gün,day
32,biz,We
33,gitmek,to go
34,is,work
35,sey,thing
36,ara,Search
37,ki,that
38,bilmek,to know
39,el,hand
40,zaman,time
41,ya,either
42,çocuk,child
43,iki,two
44,bakmak,to look
45,çalismak,to work
46,içinde,inside
47,büyük,big
48,yok,no
49,baslamak,to start
50,yol,path
51,kalmak,to stay
52,neden,From where
53,siz,you
54,konu,Subject
55,yapilmak,be done
56,iyi,Good
57,kadin,Woman
58,ev,house
59,ise,whereas
60,diye,saying
61,bulunmak,have
62,söylemek,to say
63,göz,eyelash
64,gerekmek,need
65,dünya,World
66,bas,head
67,durum,situation
68,yan,side
69,geçmek,to go past
70,onlar,them
71,yeni,new
72,önce,before
73,baska,Another
74,hal,status
75,su,This
76,girmek,to enter
77,ülke,country
78,yemek,food
79,hiç,none
80,bile,even
81,nasil,How
82,bütün,all
83,karsi,opposite
84,bulmak,to find
85,böyle,like this
86,yasamak,to live
87,düsünmek,to think
88,ayni,same
89,iç,drink
90,ancak,however
91,kisi,person
92,bunlar,these
93,veya,or
94,ilk,first
95,göre,according to
96,ön,front
97,son,end
98,biri,someone
99,önemli,important
100,yüz,face
101,hem,both
102,göstermek,to show
103,etmek,to do
104,alt,lower
105,getirmek,to bring
106,kullanmak,to use
107,çünkü,Because
108,taraf,side
109,simdi,Now
110,adam,man
111,onun,her
112,diger,other
113,artik,Now
114,üzerinde,on
115,ses,sound
116,hep,always
117,durmak,stop
118,kiz,girl
119,tüm,all
120,çekmek,to pull
121,konusmak,to talk
122,para,money
123,anlamak,to understand
124,anne,mom
125,az,little
126,bazi,some
127,baba,father
128,hayat,life
129,küçük,Small
130,fazla,more
131,bilgi,information
132,an,moment
133,sormak,to ask
134,bunun,this
135,öyle,like that
136,yine,again
137,saglamak,to ensure
138,sonuç,conclusion
139,kullanilmak,to be used
140,dis,external
141,ad,name
142,yani,well
143,süre,duration
144,dönmek,return
145,açmak,open
146,oturmak,to sit
147,anlatmak,to explain
148,birakmak,to leave
149,hemen,immediately
150,saat,hour
151,yas,age
152,sorun,problem
153,devlet,state
154,sahip,owner
155,sira,order
156,yazmak,to write
157,yüzde,percentage
158,ay,moon
159,atmak,to throw
160,tutmak,to hold
161,bunu,this
162,olay,event
163,düsmek,to fall
164,duymak,to listen
165,söz,promise
166,güzel,Beautiful
167,sevmek,to love
168,biraz,A little
169,zor,difficult
170,çikarmak,subtract
171,su,This
172,koymak,to put
173,tek,only
174,sistem,system
175,birlikte,together
176,verilmek,to be given
177,kim,who
178,alinmak,to be taken
179,genç,youth
180,kapi,door
181,kitap,book
182,üzerine,over
183,burada,Here
184,gece,night
185,alan,area
186,birbiri,each other
187,iste,at work
188,beklemek,to wait
189,uzun,LONG
190,hiçbir,no
191,bugün,Today
192,dönem,period
193,arkadas,friend
194,ürün,product
195,aile,family
196,üç,fly
197,okumak,to read
198,erkek,Male
199,herkes,everyone
200,güç,strength
201,belki,maybe
202,gerçek,real
203,tam,full
204,ilgili,relating to
205,iliski,relationship
206,çevre,environment
207,eski,old
208,aramak,to call
209,yasam,life
210,halk,people
211,yakin,close
212,bey,gentleman
213,tarih,history
214,özellik,feature
215,bölüm,section
216,özel,special
217,akil,mind
218,kimse,noone
219,pek,much
220,eger,if
221,gerek,necessary
222,özellikle,especially
223,anlam,meaning
224,yüksek,high
225,banka,bank
226,kez,times
227,ayak,foot
228,tasimak,to carry
229,geri,back
230,toplum,society
231,araç,vehicle
232,madde,article
233,tür,type
234,karar,decision
235,görülmek,to be seen
236,hava,weather
237,sayi,number
238,grup,group
239,oda,room
240,biçim,format
241,olusmak,to consist of
242,haber,news
243,Allah,God
244,ayrica,Moreover
245,gelen,incoming
246,birkaç,a few
247,soru,question
248,arka,back
249,kazanmak,to win
250,yazi,writing
251,okul,school
252,açik,open
253,ögrenmek,to learn
254,sürmek,to spread
255,dil,language
256,sirket,company
257,kaynak,source
258,bitmek,run out
259,program,program
260,devam etmek,to continue
261,hareket,movement
262,renk,colour
263,açilmak,open
264,hak,right
265,inanmak,to believe
266,çalisma,study
267,açi,angle
268,parça,piece
269,gazete,newspaper
270,olusturmak,to create
271,tabi,subject to
272,deger,value
273,tanimak,to recognise
274,yapi,structure
275,doktor,doctor
276,gelir,income
277,görev,duty
278,amaç,aim
279,bölge,area
280,üzere,about to
281,müsteri,customer
282,zaten,already
283,telefon,telephone
284,egitim,education
285,deniz,sea
286,ikinci,second
287,kalkmak,to get up
288,hatta,even
289,etki,effect
290,gelismek,to develop
291,geçen,last
292,vücut,body
293,düsünce,thought
294,milyon,million
295,oynamak,play
296,degismek,changing
297,temel,basis
298,yaratmak,create
299,ulasmak,to reach
300,sanmak,to think
301,geçirmek,put in
302,kültür,culture
303,kurmak,to create
304,fakat,but
305,buna,this
306,resim,picture
307,isik,light
308,içmek,to drink
309,hanim,woman
310,hizmet,service
311,ihtiyaç,need
312,nokta,point
313,yön,direction
314,evet,Yes
315,oyun,game
316,artmak,increase
317,yeniden,again
318,islem,process
319,kisa,short
320,kolay,easy
321,hangi,Which
322,oran,ratio
323,aslinda,Actually
324,kabul etmek,to accept
325,orada,there
326,uzak,far
327,bilgisayar,computer
328,gelecek,future
329,görünmek,seem
330,örnegin,for example
331,ogul,son
332,dinlemek,to listen
333,uygun,suitable
334,lira,lira
335,üretim,production
